env_1	env_2	raw	normalized
microbial mat/biofilm	miscellaneous natural or artificial environment	1.0	0.0
food-farm environment	miscellaneous natural or artificial environment	1.0568181818181819	0.15151515151515169
plant-associated	miscellaneous natural or artificial environment	1.0	0.0
built environment	miscellaneous natural or artificial environment	1.0	0.0
sediment	miscellaneous natural or artificial environment	1.0	0.0
food-food production facility	water	1.0276243093922652	0.07366482504604062
food-animal and animal feed	water	1.050561797752809	0.13483146067415733
hydrocarbon resources-fluids/swabs	water	1.0071942446043165	0.01918465227817734
human-gut	water	1.0091743119266054	0.0244648318042812
hydrocarbon resources-cores	water	1.007462686567164	0.01990049751243757
human-associated	water	1.008	0.021333333333333353
microbial mat/biofilm	water	1.0222222222222221	0.059259259259259046
food-farm environment	water	1.0710900473933649	0.18957345971563969
plant-associated	water	1.006896551724138	0.018390804597701187
built environment	water	1.0	0.0
sediment	water	1.021505376344086	0.05734767025089601
food-animal and animal feed	food-food production facility	1.0846153846153845	0.22564102564102542
hydrocarbon resources-fluids/swabs	food-food production facility	1.0276243093922652	0.07366482504604062
human-gut	food-food production facility	1.037593984962406	0.10025062656641619
hydrocarbon resources-cores	food-food production facility	1.0282485875706215	0.07532956685499077
human-associated	food-food production facility	1.0335570469798658	0.08948545861297556
microbial mat/biofilm	food-food production facility	1.03125	0.08333333333333333
food-farm environment	food-food production facility	1.050251256281407	0.13400335008375208
plant-associated	food-food production facility	1.035294117647059	0.09411764705882379
built environment	food-food production facility	1.0274509803921568	0.07320261437908471
